설정                                     |      초과행      초과B | 카테고리별
gap0   치환만 (부호/글자 교체)                   |     3171    15154 | 01_대사 +6234, 04_몬스터 +3956, 05_아이템명 +1800
gap0   + 문장부호 뒤 공백 삭제                   |     3034    13747 | 01_대사 +5686, 04_몬스터 +3311, 05_아이템명 +1770
gap0   + 끝 마침표 삭제                       |     2755    12101 | 01_대사 +4660, 04_몬스터 +3124, 05_아이템명 +1701
gap0   + 말줄임 …… -> …                    |     2677    11748 | 01_대사 +4325, 04_몬스터 +3124, 05_아이템명 +1701

gap2   치환만 (부호/글자 교체)                   |     2449    14114 | 01_대사 +6204, 04_몬스터 +3895, 08_네트워크·기타 +1386
gap2   + 문장부호 뒤 공백 삭제                   |     2337    12699 | 01_대사 +5656, 04_몬스터 +3213, 08_네트워크·기타 +1341
gap2   + 끝 마침표 삭제                       |     2090    11043 | 01_대사 +4630, 04_몬스터 +3028, 08_네트워크·기타 +1254
gap2   + 말줄임 …… -> …                    |     2012    10690 | 01_대사 +4295, 04_몬스터 +3028, 08_네트워크·기타 +1242
